600010.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600104.SH,600111.SH,600196.SH,600276.SH,600309.SH,600436.SH,600438.SH,600519.SH,600570.SH,600585.SH,600588.SH,600690.SH,600809.SH,600837.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601166.SH,601288.SH,601318.SH,601398.SH,601601.SH,601628.SH,601633.SH,601668.SH,601688.SH,601857.SH,601888.SH,601899.SH,601919.SH
100,1000,0,-1000,0,1000,0,-1000,1000,0,800,0,-1000,0,0,0,200,-1000,0,0,0,-600,0,0,1000,0,-100,0,0,0,0,0,0,0,0,0,100,1000
0,-1000,1000,1000,-1000,-1000,1000,1000,1000,0,700,0,100,0,0,0,100,0,-900,-900,0,1000,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,-1000,1000
900,-200,-1000,-1000,-800,1000,-1000,-1000,-1000,0,1000,0,-1000,100,0,0,0,-1000,0,-100,0,200,0,0,-800,1000,0,0,-600,0,0,0,0,0,0,0,1000,1000
-1000,-1000,-200,-100,0,1000,-1000,1000,-1000,0,-800,0,-1000,-100,1000,0,-300,-600,900,1000,0,-100,1000,0,-1000,1000,0,0,1000,0,0,0,1000,0,0,0,1000,1000
1000,1000,0,0,0,-1000,-1000,-1000,-100,1000,1000,0,-700,0,-1000,1000,0,0,-900,1000,700,1000,-1000,1000,-1000,1000,100,0,-1000,0,1000,0,-1000,1000,0,0,200,1000
-1000,-1000,0,1000,0,-1000,1000,0,0,0,-1000,0,1000,0,0,1000,0,1000,0,0,-700,0,0,0,0,-1000,-100,0,0,0,0,0,0,-1000,100,0,400,1000
0,1000,0,-1000,0,-200,-1000,900,0,0,0,0,0,0,0,-1000,0,100,1000,-1000,0,-1000,0,-1000,-1000,-1000,300,0,1000,0,-1000,0,0,0,0,0,100,-600
-1000,-1000,0,0,0,0,1000,-900,1000,-1000,-1000,0,0,0,0,-1000,0,-700,1000,-1000,0,-1000,0,0,0,300,-300,0,-1000,1000,0,0,0,0,0,0,-1000,-1000
-1000,-1000,0,0,0,0,0,0,-1000,0,-1000,0,0,0,0,0,0,0,800,0,0,0,700,0,0,-1000,0,0,200,-1000,0,0,0,0,-100,0,0,-1000
200,-300,0,200,0,0,-700,0,0,0,-1000,0,-1000,0,0,0,0,-400,800,0,0,-100,0,0,-300,-300,0,0,-200,0,0,0,0,0,0,0,0,-1000
-1000,0,0,-200,1000,600,0,0,1000,0,0,0,-1000,0,0,1000,1000,0,-1000,0,0,0,0,1000,0,0,0,0,1000,0,1000,0,0,0,1000,0,1000,1000
-1000,0,0,0,-1000,-600,-300,200,-1000,0,-1000,900,-1000,0,0,1000,-1000,1000,-1000,1000,1000,1000,1000,1000,1000,0,0,0,300,0,-1000,0,0,0,-1000,0,1000,1000
-1000,1000,0,1000,1000,1000,0,-200,0,1000,-1000,-900,-300,0,0,1000,0,1000,1000,-1000,-1000,1000,-1000,-1000,-1000,1000,0,0,-1000,0,0,0,1000,1000,0,0,-1000,1000
1000,1000,0,0,-1000,-200,0,800,0,0,1000,0,0,0,0,0,0,-1000,-1000,0,0,1000,-700,1000,1000,1000,1000,0,1000,1000,0,1000,1000,-1000,1000,0,1000,-800
1000,-1000,0,-1000,0,-800,1000,1000,1000,-1000,-900,0,1000,0,1000,1000,0,1000,-1000,1000,1000,1000,1000,600,1000,-1000,1000,0,-1000,-1000,1000,-1000,-1000,0,700,0,1000,1000
-1000,1000,0,0,0,0,-1000,1000,-1000,0,-1000,0,1000,0,-1000,-100,0,-1000,1000,-1000,700,-1000,-1000,-1000,0,0,-1000,0,-300,1000,0,1000,300,0,-1000,0,-1000,-1000
-1000,-1000,0,0,0,0,1000,-1000,0,0,-100,1000,-1000,0,0,100,0,-1000,-1000,0,1000,1000,1000,1000,-1000,-1000,1000,0,1000,-1000,900,-1000,-1000,0,200,0,1000,-1000
0,-1000,0,0,0,0,1000,-1000,0,0,1000,0,-1000,0,0,-200,0,0,-600,0,-700,-1000,-1000,-100,500,0,-1000,1000,300,0,-1000,0,-300,1000,1000,1000,1000,-1000
300,0,0,0,0,500,-300,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,-1000,0,1000,0,0,0,-1000,0,0,0,0,0,-1000,-1000,-1000,0,-1000
1000,1000,1000,0,1000,-500,-1000,-800,0,0,-1000,-1000,1000,0,0,1000,0,1000,-1000,1000,1000,-1000,1000,-1000,1000,1000,-1000,0,-1000,0,1000,1000,0,0,-900,0,1000,-1000
1000,-1000,1000,0,-1000,1000,-700,0,1000,0,0,1000,1000,200,300,-1000,0,0,0,0,-1000,-1000,1000,-1000,-1000,100,0,0,1000,0,1000,-1000,0,0,1000,0,-200,-1000
-1000,1000,1000,1000,1000,1000,0,0,-1000,0,500,-1000,1000,-200,1000,-1000,0,1000,0,-1000,1000,0,1000,1000,1000,-1000,1000,0,0,0,-1000,0,0,0,-1000,1000,-1000,1000
-1000,1000,-1000,1000,1000,1000,1000,0,0,0,1000,0,-1000,0,-1000,-1000,0,500,0,0,1000,0,-700,-1000,-1000,-100,-600,1000,-1000,1000,1000,1000,0,1000,0,0,0,1000
200,0,1000,800,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,1000,0,-1000,0,-1000,-1000,-1000,1000,0,0,0,-1000,0,-1000,0,-1000,0,0,100,-1000
-500,-1000,1000,1000,-1000,-1000,400,0,1000,0,-500,700,100,0,-300,1000,0,-1000,-1000,1000,-1000,0,-1000,1000,100,-1000,-400,-1000,900,0,-1000,0,1000,0,0,-1000,1000,-1000
-500,-1000,0,-1000,-1000,-500,-1000,0,0,0,0,100,1000,200,0,0,0,-1000,0,1000,-400,0,-300,1000,-600,0,1000,0,1000,0,-900,0,-1000,0,0,0,0,1000
500,0,-1000,-1000,0,1000,-400,0,-1000,0,0,-800,1000,-200,0,-1000,0,-500,1000,-1000,-200,0,1000,-1000,1000,1000,-1000,0,1000,1000,-1000,1000,1000,0,0,100,-1000,800
-1000,0,-1000,-1000,0,-1000,0,600,0,0,0,0,1000,500,0,-200,0,0,-1000,-1000,-1000,0,-400,-1000,0,-300,0,0,1000,-1000,0,0,0,0,0,-100,200,1000
1000,0,1000,-800,0,1000,1000,-600,700,0,0,0,1000,-500,0,1000,0,1000,0,0,-400,0,1000,-500,1000,1000,1000,1000,1000,0,0,-1000,-600,1000,0,0,-1000,-1000
1000,0,1000,0,1000,1000,1000,0,-700,1000,0,0,1000,200,1000,1000,0,1000,0,1000,0,0,700,0,1000,1000,700,-1000,-1000,1000,1000,0,1000,1000,0,0,-1000,-1000
300,0,-1000,0,-1000,-1000,1000,1000,0,-1000,1000,0,1000,0,-1000,-1000,0,-1000,200,-1000,0,0,-1000,0,-1000,1000,1000,0,1000,-1000,0,300,0,100,0,0,-1000,1000
1000,0,1000,1000,1000,-1000,-600,-1000,0,1000,-1000,0,1000,-200,0,0,1000,-1000,-200,0,0,0,-1000,0,1000,-1000,-1000,0,1000,0,-500,-300,-1000,1000,0,1000,1000,-1000
1000,0,1000,1000,-1000,-1000,-1000,0,0,-1000,0,0,0,0,1000,-1000,1000,0,0,0,1000,1000,1000,1000,-1000,1000,100,0,-1000,0,1000,100,1000,-1000,200,0,1000,-1000
1000,1000,-1000,-1000,0,-500,-1000,0,0,1000,1000,0,-1000,0,-1000,-1000,-1000,1000,300,800,-1000,-1000,-1000,-1000,-1000,1000,1000,0,1000,0,-600,-100,-1000,1000,1000,-1000,-1000,1000
0,0,-1000,-1000,0,0,-400,0,0,-1000,0,1000,0,0,0,-600,-400,-1000,0,-800,0,0,0,0,0,0,-1000,0,0,0,0,0,-400,600,1000,700,-1000,1000
-1000,0,-1000,1000,1000,0,0,1000,0,0,1000,-1000,-1000,0,1000,0,-600,0,400,0,1000,0,1000,0,1000,-1000,0,0,-1000,0,600,0,1000,0,500,0,-600,1000
-1000,-1000,-1000,-1000,1000,300,0,-1000,0,1000,-1000,900,-100,0,0,0,0,1000,0,0,0,0,-1000,0,-1000,-300,-1000,0,-1000,0,-1000,0,1000,-1000,1000,-700,-1000,0
-1000,0,-1000,0,-1000,-300,0,0,0,1000,1000,-900,1000,0,-1000,0,600,-1000,-700,0,1000,0,1000,0,1000,-1000,1000,1000,1000,0,1000,1000,1000,-1000,1000,0,1000,-500
1000,400,0,1000,-1000,1000,1000,0,0,-1000,-1000,1000,1000,0,1000,0,-600,0,0,1000,0,0,-1000,0,-1000,1000,1000,200,-1000,0,1000,-1000,-1000,-1000,0,0,1000,-1000
100,-400,0,-1000,1000,1000,-1000,0,1000,-1000,-1000,0,-700,100,500,0,100,0,0,-1000,-1000,0,-300,0,1000,-1000,0,0,0,0,-1000,0,-1000,-700,-1000,0,100,1000
1000,0,0,0,0,-1000,0,0,-1000,0,0,300,-1000,-100,1000,0,1000,0,0,0,-1000,0,1000,1000,1000,1000,1000,-1000,1000,0,600,0,200,0,-1000,0,1000,-1000
-1000,1000,1000,1000,-1000,1000,1000,0,1000,0,0,100,-1000,0,500,0,0,0,0,0,0,0,1000,-1000,-1000,0,-1000,0,100,0,-1000,0,0,0,-900,0,200,1000
1000,1000,-1000,-1000,500,1000,1000,0,1000,900,0,-1000,1000,0,-100,0,-500,0,0,1000,1000,1000,-1000,300,800,1000,0,-200,-1000,0,1000,0,-1000,1000,-1000,0,-1000,-100
1000,1000,0,0,-500,-1000,1000,1000,-1000,-900,0,-400,-1000,200,-1000,0,-600,0,0,-1000,-1000,1000,0,1000,-1000,0,-1000,0,-100,0,1000,0,-200,500,1000,0,1000,-1000
-200,1000,1000,0,600,-1000,-1000,-1000,1000,1000,0,0,-1000,100,-1000,300,0,0,0,1000,0,-1000,-1000,-1000,-1000,-1000,-1000,0,-1000,0,-1000,1000,0,-1000,1000,0,-1000,-1000
-1000,-1000,1000,0,-600,-1000,-1000,0,-1000,1000,1000,0,800,0,0,0,0,0,0,-1000,0,1000,0,-300,0,0,800,0,-1000,0,0,-1000,1000,-500,-1000,0,0,1000
100,1000,-300,1000,0,0,-1000,0,1000,-800,700,0,0,0,-900,-200,0,0,0,0,0,1000,0,0,-800,-1000,-600,0,-1000,0,-1000,0,-1000,0,-1000,0,-1000,1000
1000,1000,1000,-1000,1000,700,1000,0,-1000,-1000,-1000,0,-1000,-300,0,-100,1000,0,0,1000,400,-1000,1000,1000,1000,1000,1000,1000,1000,0,1000,0,0,1000,1000,1000,1000,1000
100,-100,1000,0,-1000,500,-300,0,-1000,-200,-700,0,1000,300,0,0,-1000,1000,0,-1000,1000,-1000,-1000,100,-1000,0,-1000,-600,-1000,0,0,1000,0,1000,1000,-1000,-1000,1000
1000,1000,1000,0,0,-1000,1000,0,1000,1000,0,1000,-1000,-300,0,0,0,-1000,600,0,1000,-1000,0,-1000,1000,-1000,-1000,-400,0,0,0,-1000,0,400,-1000,0,1000,1000
1000,1000,-1000,0,1000,1000,-1000,0,-1000,-1000,0,-1000,1000,0,300,0,1000,0,-600,0,-1000,1000,1000,-100,-1000,-1000,1000,1000,-1000,0,-1000,0,1000,900,1000,0,-1000,-1000
1000,-1000,0,0,-1000,-200,-700,0,0,1000,0,0,0,400,-300,1000,-1000,0,0,0,-1000,500,0,0,0,-1000,1000,-1000,-200,0,0,0,0,-800,0,0,1000,-1000
1000,0,0,0,0,0,0,0,100,-600,0,400,0,0,0,-1000,0,0,0,0,-400,-1000,100,0,0,0,-1000,0,0,0,0,0,-1000,0,-1000,0,-1000,-1000
-1000,1000,-700,1000,0,700,0,0,300,-400,0,-400,1000,-400,0,1000,0,0,0,0,1000,-500,-1000,0,1000,-400,-1000,1000,1000,0,700,1000,1000,-1000,1000,0,1000,-800
-1000,-1000,-100,-1000,0,-1000,0,0,-400,0,600,0,0,400,0,1000,0,100,0,0,-1000,0,-100,0,1000,0,1000,-1000,-1000,0,0,0,200,0,0,0,-1000,-1000
-1000,-1000,1000,0,0,-700,1000,0,100,0,1000,0,-1000,-400,0,-1000,0,-100,0,0,0,0,0,1000,-1000,0,1000,0,0,0,-1000,-1000,-1000,1000,1000,0,1000,-1000
1000,1000,1000,900,0,1000,-1000,0,1000,0,1000,0,1000,0,1000,-1000,1000,0,0,1000,1000,600,0,-1000,-1000,0,1000,0,0,1000,-800,1000,1000,800,1000,0,900,1000
-1000,1000,-1000,1000,1000,1000,1000,0,-1000,0,-1000,0,1000,0,1000,1000,-1000,0,0,1000,1000,1000,1000,0,0,1000,1000,0,0,-1000,100,-1000,-1000,1000,1000,1000,1000,1000
1000,-1000,-1000,-1000,-1000,-1000,-1000,0,-100,1000,1000,0,1000,0,-1000,-1000,0,0,0,-1000,-1000,-1000,1000,0,0,-1000,-900,1000,1000,1000,600,0,1000,-1000,100,200,1000,1000
-1000,-1000,-1000,-900,0,1000,0,0,0,1000,-1000,0,1000,0,1000,800,1000,0,300,1000,-1000,1000,-1000,0,1000,1000,1000,-1000,1000,1000,-200,0,1000,-1000,1000,-1000,1000,-1000
-1000,1000,-1000,0,1000,1000,0,1000,0,1000,-1000,0,-1000,0,-700,-800,0,0,-300,-1000,1000,-1000,1000,1000,-300,-300,1000,0,-1000,-1000,-500,0,1000,-1000,1000,-200,1000,-1000
1000,-300,-900,0,-1000,1000,1000,-1000,0,-1000,-600,1000,1000,0,0,0,-1000,1000,0,1000,-1000,-600,-700,0,-700,1000,-1000,0,-900,100,0,0,-1000,-1000,-1000,0,-1000,1000
1000,1000,0,0,1000,1000,-1000,1000,1000,-1000,0,-1000,-200,100,-1000,1000,0,-1000,0,-1000,0,1000,-1000,1000,1000,-1000,-1000,0,-100,-1000,0,1000,-1000,1000,1000,0,-200,1000
-1000,-1000,0,0,-1000,1000,1000,-1000,-700,0,0,300,1000,-100,1000,-900,0,0,0,-1000,1000,-600,1000,1000,1000,0,-1000,1000,1000,-100,0,-700,-1000,0,-1000,0,1000,100
-100,1000,0,0,0,1000,1000,1000,1000,-1000,0,-300,1000,0,-1000,1000,0,1000,0,0,1000,300,1000,-1000,-1000,-700,1000,1000,1000,0,0,-300,-200,-1000,-1000,0,-900,1000
100,-1000,0,0,0,1000,1000,1000,-1000,0,0,400,-1000,0,-300,-400,0,0,0,0,0,0,1000,-1000,-1000,0,-500,-1000,-1000,0,0,0,0,-300,-1000,0,100,1000
400,-1000,0,0,0,0,0,-1000,0,0,0,-200,-1000,0,0,0,0,0,800,0,0,-700,-300,0,500,0,0,0,-1000,0,0,0,0,0,0,0,-1000,-1000
1000,100,0,0,0,0,1000,0,-300,0,0,400,1000,0,1000,1000,0,1000,-500,1000,-900,0,-1000,-1000,-500,0,1000,-1000,0,0,0,0,0,0,-1000,0,1000,-1000
0,-1000,0,0,0,-1000,-1000,1000,0,0,0,400,100,0,-1000,-1000,0,0,-300,0,-1000,0,-1000,0,0,0,1000,0,0,0,0,400,0,1000,1000,0,0,1000
1000,-1000,0,0,0,100,1000,-1000,0,1000,0,-200,1000,0,0,-700,0,1000,0,-1000,-100,0,1000,0,1000,0,-1000,0,1000,0,900,-400,0,-1000,-1000,0,-1000,1000
1000,-500,0,0,0,-1000,-1000,1000,0,-1000,0,0,0,0,0,1000,0,1000,0,1000,200,0,-800,0,100,0,200,0,0,0,-900,0,0,0,-1000,0,1000,-1000
1000,0,0,1000,0,-1000,1000,-1000,1000,0,0,-800,-1000,200,300,-1000,0,-1000,0,-1000,0,0,-1000,1000,-200,0,0,0,200,0,0,0,1000,0,-900,0,-1000,-1000
-1000,-1000,0,1000,0,0,-1000,0,0,0,0,1000,-800,-200,-300,0,0,-1000,0,1000,800,0,-200,0,-900,0,-1000,0,-1000,0,0,0,700,0,-1000,0,1000,1000
100,1000,0,-1000,0,-1000,1000,0,1000,1000,0,-1000,1000,0,0,1000,1000,-400,1000,-1000,-1000,0,0,700,0,0,1000,0,0,0,0,0,-1000,0,-1000,0,-1000,-1000
200,-1000,0,-1000,0,-1000,-1000,0,-1000,100,0,0,-1000,0,0,100,0,0,500,0,0,0,0,0,0,1000,-1000,0,0,0,0,0,0,0,0,0,0,-1000
-1000,0,0,0,1000,1000,-1000,1000,-1000,1000,0,0,1000,0,0,1000,1000,1000,-1000,1000,1000,1000,0,-1000,0,1000,1000,300,0,100,0,0,100,0,0,0,-1000,0
1000,1000,0,0,-1000,-1000,-1000,-1000,1000,-1000,0,0,-1000,0,0,1000,-1000,-1000,-500,-700,-1000,-1000,0,-700,0,-1000,1000,-300,1000,-100,0,1000,1000,1000,200,0,1000,1000
-1000,-1000,0,0,1000,1000,-1000,-1000,-900,-1000,1000,0,1000,0,0,1000,-1000,-1000,0,-300,0,0,900,0,0,-1000,-1000,0,-1000,1000,0,1000,1000,1000,1000,1000,1000,-1000
0,-1000,0,1000,-700,-1000,0,0,-100,1000,-1000,600,700,0,0,-1000,0,0,0,200,0,0,-900,0,0,0,1000,0,0,0,0,-1000,0,-1000,0,0,-1000,1000
1000,-200,0,-1000,-300,-1000,0,0,0,-1000,0,-600,1000,0,0,1000,0,-600,1000,1000,0,0,0,1000,1000,0,1000,1000,1000,-1000,0,900,800,-1000,-1000,-1000,0,1000
1000,0,0,0,0,1000,0,0,0,-100,0,900,1000,0,1000,-1000,0,1000,-1000,0,500,0,0,-1000,-1000,1000,-1000,-1000,1000,0,0,-1000,0,0,300,0,1000,-900
1000,200,1000,0,0,1000,0,0,0,0,0,-900,1000,0,-1000,-1000,800,1000,1000,1000,-500,0,1000,0,1000,-100,-500,0,-700,0,700,-900,-1000,100,-500,0,1000,1000
0,-200,-1000,0,0,1000,0,0,0,0,0,900,0,0,0,-1000,0,100,-1000,0,0,0,0,0,0,1000,0,0,100,0,-700,0,-1000,-100,0,0,0,-1000
-1000,0,0,0,0,-1000,0,0,0,0,0,200,1000,0,0,0,-800,-1000,0,0,0,0,-1000,0,0,-1000,1000,0,1000,0,0,0,-100,0,0,0,700,-900
1000,0,1000,0,0,1000,1000,0,0,0,1000,0,-900,0,0,-1000,0,-600,0,-1000,0,0,0,0,-1000,-900,-900,0,-1000,0,0,0,1000,0,0,0,700,-1000
100,1000,1000,1000,0,-1000,0,0,1000,0,-1000,100,-1000,0,0,-100,0,-400,0,-1000,0,0,0,0,1000,0,1000,0,0,0,0,0,-1000,0,0,0,1000,1000
1000,700,1000,-1000,0,1000,200,0,-1000,1000,0,-1000,-1000,0,0,800,0,-100,0,-200,0,0,0,0,-200,1000,-1000,0,1000,0,1000,1000,-1000,1000,0,0,1000,1000
1000,-1000,0,0,0,100,-1000,1000,0,100,300,600,0,0,0,-800,0,0,0,0,1000,1000,1000,0,-800,-1000,-1000,0,-1000,0,-1000,-1000,0,0,0,0,1000,-1000
-800,-700,-1000,0,300,1000,1000,1000,0,-1000,-300,-800,1000,0,0,0,0,0,0,0,1000,1000,0,1000,1000,0,1000,1000,900,0,1000,0,1000,0,1000,0,1000,-1000
-1000,0,-1000,0,-300,1000,-1000,-1000,0,-100,0,0,0,0,0,0,1000,1000,1000,0,-1000,-1000,-400,-1000,-1000,1000,1000,-800,-500,0,-1000,0,-1000,-1000,-1000,0,1000,1000
1000,0,-1000,0,1000,-700,-200,-1000,0,1000,1000,0,300,0,0,0,-1000,1000,-1000,0,-1000,-1000,-600,0,1000,1000,-1000,-200,1000,0,0,0,1000,0,1000,0,-1000,-1000
-1000,300,0,0,-1000,0,0,1000,0,1000,0,0,1000,0,0,0,1000,0,0,1000,1000,1000,1000,0,-400,-1000,1000,0,-1000,0,1000,100,-1000,0,0,0,-1000,1000
1000,1000,1000,0,0,-200,1000,1000,0,-1000,-1000,0,1000,0,0,0,-1000,1000,0,1000,-100,100,-1000,1000,-600,-1000,100,0,-1000,0,-1000,-100,-500,0,0,0,1000,1000
-100,1000,1000,0,1000,-1000,-1000,-1000,1000,-1000,0,0,1000,0,0,1000,0,-1000,0,-1000,1000,-1000,0,-1000,0,0,1000,0,1000,0,1000,0,1000,0,-1000,0,1000,-1000
-1000,-1000,-1000,0,-1000,0,0,0,-1000,0,0,0,-1000,0,0,1000,0,-600,0,700,0,-100,0,0,0,0,-1000,0,0,0,-1000,0,0,0,1000,1000,1000,-1000
-1000,-1000,-300,1000,1000,-1000,0,1000,0,0,0,0,100,0,0,-1000,0,-1000,0,-1000,0,0,0,0,1000,1000,0,1000,1000,0,0,0,400,0,-1000,-500,1000,-1000
-1000,-300,-700,0,-800,0,1000,-1000,1000,0,0,400,0,0,0,1000,0,-400,0,-700,-1000,0,0,0,-1000,0,200,-400,-1000,1000,0,0,1000,1000,0,-500,-1000,1000
-1000,0,1000,1000,-200,-1000,-1000,-1000,1000,600,0,0,0,0,0,-600,0,0,0,0,-900,0,0,1000,0,0,300,-600,0,-1000,0,0,-1000,0,0,0,0,1000
800,0,-1000,-1000,1000,-1000,1000,0,1000,-600,0,100,0,0,100,0,0,0,0,0,0,0,0,-1000,0,1000,-1000,0,0,0,0,0,0,-1000,0,0,-1000,1000
1000,400,0,0,-1000,-1000,-1000,0,0,0,0,-400,0,0,-100,1000,0,0,0,0,1000,0,1000,1000,0,1000,-400,1000,-1000,0,0,0,-1000,800,0,0,-100,-1000
1000,-400,0,1000,0,-1000,0,0,-1000,0,0,-100,-1000,0,0,-1000,0,0,0,0,-200,0,-1000,-1000,0,-1000,1000,-1000,-1000,0,0,1000,1000,-800,0,0,-1000,-800
1000,0,0,-1000,200,1000,600,0,-200,1000,1000,0,1000,0,0,-1000,1000,0,0,0,-800,0,0,1000,1000,-1000,-1000,0,0,0,900,-1000,1000,1000,1000,0,-1000,1000
400,0,1000,0,-200,1000,-600,1000,1000,-1000,-300,0,1000,0,800,0,0,0,0,0,1000,0,0,0,-1000,-1000,0,0,0,0,-900,0,-1000,-1000,-1000,0,200,1000
-1000,0,-1000,0,0,1000,1000,-1000,1000,0,1000,0,-1000,0,0,-400,-1000,0,0,0,-1000,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,1000,1000
0,0,0,-1000,1000,-1000,-1000,0,-1000,1000,1000,0,-1000,0,-800,0,0,0,0,1000,0,0,0,-1000,1000,600,100,0,1000,0,0,0,0,0,0,0,-1000,1000
-1000,100,0,0,0,1000,0,0,0,-1000,-1000,300,1000,0,0,0,0,1000,0,-1000,0,300,0,0,-1000,-600,1000,0,-200,0,0,0,100,0,0,0,1000,-1000
1000,-100,0,0,-1000,0,0,0,0,0,0,0,-1000,0,0,0,800,-1000,0,1000,0,1000,1000,0,0,0,200,0,-800,0,0,0,-100,0,0,0,1000,-200
1000,0,0,0,0,0,1000,0,1000,1000,-1000,0,1000,0,0,0,-800,0,0,-1000,0,-1000,-1000,1000,0,0,300,0,0,0,0,0,0,0,0,0,1000,-1000
200,0,0,0,0,100,-1000,0,0,0,-700,0,-1000,0,0,0,0,0,800,0,0,-300,0,-1000,100,0,-1000,0,0,0,0,0,-1000,0,0,0,-1000,-1000
100,0,1000,1000,0,1000,0,0,-1000,-1000,0,-300,-900,0,0,0,0,0,0,1000,1000,700,0,1000,-100,0,-1000,0,0,0,0,0,-400,0,0,0,0,1000
-1000,1000,100,-1000,0,-1000,0,1000,-600,1000,0,0,-1000,0,0,1000,0,0,-800,1000,-1000,-700,0,-1000,1000,0,1000,0,0,0,0,0,1000,1000,0,1000,-1000,1000
1000,-1000,1000,0,0,-1000,0,1000,-1000,1000,0,0,1000,0,0,-1000,1000,1000,0,-1000,1000,0,0,0,0,0,1000,1000,1000,1000,0,700,-300,1000,900,-1000,1000,-1000
1000,0,1000,0,0,-100,0,-1000,1000,-1000,0,0,1000,0,1000,1000,-1000,600,0,-100,-1000,0,0,0,1000,0,700,-1000,1000,-1000,0,1000,-700,-1000,1000,0,-1000,-1000
1000,0,1000,0,1000,-1000,1000,-1000,-1000,1000,0,0,1000,0,-1000,700,0,100,0,-900,0,0,0,0,0,0,100,0,-1000,1000,0,-1000,0,-1000,-1000,0,0,-300
100,0,-1000,0,0,-1000,-1000,0,1000,-1000,0,0,1000,0,0,200,0,100,0,0,0,0,0,0,1000,0,-1000,0,0,-1000,0,0,0,0,-900,0,-300,1000
1000,0,-1000,0,-1000,0,0,0,1000,-1000,0,0,-1000,0,0,1000,0,1000,0,0,0,0,0,0,-1000,0,-1000,1000,1000,1000,500,-700,200,0,0,0,1000,-700
0,0,-1000,0,100,200,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,1000,0,0,-1000,0,0,0,-600,0,0,0,200,0,0,0,0,1000
200,0,-700,0,-100,1000,1000,1000,0,0,0,0,0,0,0,-1000,0,-1000,0,0,0,1000,0,0,-700,0,0,0,-1000,-1000,-500,0,0,0,0,0,0,1000
100,0,-400,0,0,-1000,-1000,-1000,-1000,1000,0,0,-700,0,0,-1000,0,1000,0,0,1000,-1000,0,1000,100,0,0,1000,0,0,0,0,0,0,0,0,0,1000
1000,0,0,0,0,-500,0,0,600,-1000,0,0,-1000,0,0,-900,0,1000,0,0,-400,-1000,0,-1000,0,0,0,-1000,1000,0,1000,1000,1000,0,1000,1000,1000,-1000
900,1000,1000,0,0,0,0,0,-1000,0,0,0,-1000,0,0,0,0,0,0,0,-600,1000,0,0,-400,1000,0,1000,1000,0,-900,-1000,0,0,-500,0,1000,1000
-1000,-1000,-1000,0,0,0,0,1000,0,0,200,800,1000,0,0,0,0,-1000,0,0,0,-1000,0,0,1000,-1000,-1000,-1000,-1000,0,-100,0,400,0,-500,-1000,1000,-1000
1000,0,0,0,0,0,1000,-1000,-1000,1000,-200,-800,1000,0,0,200,1000,-1000,600,1000,0,1000,0,0,-1000,1000,-1000,-1000,-1000,0,1000,1000,1000,1000,0,0,1000,-1000
0,200,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,500,-1000,0,-1000,500,0,0,-1000,0,0,-300,0,0,0,0,-1000,0,0,0,-1000
200,1000,0,0,0,0,-1000,0,1000,-300,0,1000,900,0,0,-200,0,-800,-1000,0,0,0,-500,0,0,0,1000,0,-100,0,-1000,-1000,-100,0,0,0,0,1000
-1000,0,0,1000,0,0,0,0,-1000,-700,0,-1000,1000,100,0,1000,-1000,1000,-100,0,1000,0,1000,1000,0,0,1000,0,1000,0,0,300,300,0,0,0,-1000,-300
1000,-1000,0,-1000,0,0,0,0,0,0,200,900,-1000,-100,0,1000,0,-1000,0,0,0,0,1000,-1000,0,0,500,0,0,0,0,100,-1000,0,0,0,0,-1000
1000,-200,1000,1000,0,0,400,0,-800,0,-200,-900,-600,0,300,-1000,0,0,100,800,1000,0,-1000,1000,0,1000,1000,0,-1000,0,0,1000,1000,0,1000,0,1000,-1000
300,0,1000,1000,0,0,1000,0,1000,1000,0,0,-1000,0,-300,-1000,0,0,-100,1000,-1000,0,1000,-1000,1000,0,-1000,0,1000,0,1000,1000,1000,1000,1000,500,1000,1000
100,1000,1000,-1000,0,1000,-1000,0,-1000,-1000,400,0,-1000,0,0,0,0,0,1000,-1000,-1000,0,0,0,1000,-1000,-1000,0,0,0,0,-800,-1000,-1000,-100,-500,600,-1000
0,0,-1000,-1000,0,1000,1000,1000,1000,0,-400,0,-1000,0,0,0,0,0,0,-800,0,0,-1000,0,100,1000,200,0,-1000,0,0,0,-1000,0,0,0,-1000,1000
-1000,500,1000,0,0,-1000,-1000,1000,1000,0,0,0,-100,0,1000,0,1000,0,-1000,1000,0,0,-1000,300,-1000,1000,1000,0,1000,0,-1000,-1000,1000,1000,-1000,1000,-1000,-1000
400,-500,-1000,0,0,-1000,-400,1000,-1000,1000,0,200,-1000,0,-1000,0,-1000,1000,1000,-1000,0,0,0,-300,0,1000,-1000,0,0,0,0,0,-1000,-400,-900,-1000,400,-1000
-1000,1000,-300,1000,1000,0,0,500,1000,-1000,0,-200,1000,0,0,0,1000,1000,-1000,0,0,0,0,0,1000,1000,1000,0,1000,0,1000,-600,-1000,-600,1000,0,-1000,1000
